,Section,Date,Authority,Geographical subdivision,Medicare Fraud Strike Force case,Heading,Description,Hyperlink
0,Criminal and Civil Enforcement,"December 24, 2014",U.S. Attorney,Northern District of California,0,Former Napa Doctor Charged With Medicare Fraud And Distribution Of Controlled Substances,"SAN FRANCISCO - Paul D. Woodward was arraigned yesterday for allegedly operating a scheme to defraud Medicare and allegedly distributing controlled substances, announced United States Attorney Melinda Haag, Office of Inspector General - Health and Human Services Special Agent in Charge Ivan Negroni, and Drug Enforcement Administration Special Agent in Charge Jeffrey J. Fitzpatrick.",https://www.justice.gov/usao-ndca/pr/former-napa-doctor-charged-medicare-fraud-and-distribution-controlled-substances
1,Criminal and Civil Enforcement,"December 22, 2014",U.S. Department of Justice,,0,United States Files Suit Against Omnicare Inc. for Accepting Kickbacks from Drug Manufacturer to Promote an Anti-Epileptic Drug in Nursing Homes,"The United States has filed a civil False Claims Act complaint against Omnicare Inc. alleging that it solicited and received millions of dollars in kickbacks from pharmaceutical manufacturer Abbott Laboratories, the Justice Department announced today.  Omnicare is the nation's largest provider of pharmaceuticals and pharmacy consulting services to nursing homes.  Federal regulations designed to protect nursing home residents from unnecessary drugs require nursing homes to retain consulting pharmacists such as those provided by Omnicare to ensure that residents' drug prescriptions are appropriate.",https://www.justice.gov/opa/pr/united-states-files-suit-against-omnicare-inc-accepting-kickbacks-drug-manufacturer-promote
2,Criminal and Civil Enforcement,"December 22, 2014",U.S. Attorney,Middle District of Pennsylvania,0,Old Forge Pharmacist Sentenced to 15 Months Imprisonment in Health Care Fraud Case,"The United States Attorney's Office for the Middle District of Pennsylvania announced that an Old Forge pharmacist who previously plead guilty to health care fraud was sentenced on December 18, 2014 in federal court in Scranton.  ",https://www.justice.gov/usao/pam/news/2014/Capitano_12_22_14.html
3,Criminal and Civil Enforcement,"December 22, 2014",U.S. Attorney,Eastern District of Pennsylvania,0,"Easton Hospital Agrees To Pay The Government $662,000 To Resolve False Claims Act Allegations","PHILADELPHIA - Northampton Hospital Company, LLC and Northampton Hospital Corporation, doing business as Easton Hospital (""Easton Hospital""), have agreed to a $662,000 settlement with the government to resolve allegations of health care fraud arising under the False Claims Act.  The United States contends Easton Hospital billed Medicare for procedures performed by Dr. Thomas Walden, including extracorporeal shock wave lithotripsy, cystometrogram, green light laser, and transurethral resection of the prostate.  According to the United States, some of these procedures were not performed, were only partially completed, or were medically unnecessary.  The settlement was announced today by United States Attorney Zane David Memeger.  Easton Hospital denies the allegations.",https://www.justice.gov/usao-edpa/pr/easton-hospital-agrees-pay-government-662000-resolve-false-claims-act-allegations
4,Criminal and Civil Enforcement,"December 22, 2014",U.S. Attorney,Northern District of Georgia,0,Norcross Clinic Owner Sentenced for Healthcare Fraud,"ATLANTA - Shinkweon Park has been sentenced for conspiring to commit healthcare fraud by submitting false claims for doctor visits, acupuncture, and physical therapy to Medicare and Blue Cross Blue Shield.",https://www.justice.gov/usao/gan/press/2014/12-22-14.html
5,Criminal and Civil Enforcement,"December 19, 2014",U.S. Attorney,Northern District of Mississippi,0,Greenwood Woman Sentenced for Millions in Hospice Fraud,"OXFORD, Miss. - Felicia C. Adams, United States Attorney for the Northern District of Mississippi; Donald Always, Special Agent in Charge at the Federal Bureau of Investigation; Derrick L. Jackson, Special Agent in Charge at the U.S. Department of Health and Human Services, Office of Inspector General; and Mississippi Attorney General Jim Hood announced that: Regina Swims-King, 54, of Greenwood, Mississippi, was sentenced on December 18, 2014 by United States District Judge Michael Mills in Oxford, Mississippi, to seventy (70) months imprisonment to be followed by three (3) years of supervised release.  Swims-King will report to the Federal Bureau of Prisons on February 23, 2015.",https://www.justice.gov/usao/msn/news/2014/dec19swimssent.html
6,Criminal and Civil Enforcement,"December 18, 2014",U.S. Attorney,Eastern District of Texas,0,Former Beaumont Physician Sentenced for Health Care Fraud Violation,"BEAUMONT, Texas - A 75-year-old Beaumont doctor has been sentenced to federal prison for health care fraud violations in the Eastern District of Texas, announced U.S. Attorney John M. Bales today.",https://www.justice.gov/usao/txe/News/2014/edtx-hcf%20webb%20121814.html
7,Criminal and Civil Enforcement,"December 18, 2014",U.S. Department of Justice,,0,Former Federal Law Enforcement Agent Pleads Guilty to Theft of Agency's Ammunition,"A former special agent with the Department of Health and Human Services-Office of Inspector General (HHS-OIG) pleaded guilty today to theft of government property for stealing thousands of rounds of law enforcement ammunition, announced Assistant Attorney General Leslie R. Caldwell of the Justice Department's Criminal Division and Special Agent in Charge Elton Malone of HHS-OIG's Special Investigations Branch.",https://www.justice.gov/opa/pr/former-federal-law-enforcement-agent-pleads-guilty-theft-agencys-ammunition
8,Criminal and Civil Enforcement,"December 17, 2014",U.S. Department of Justice,,0,Mastermind of $56 Million Medicare Fraud Scheme and Doctor Plead Guilty,The organizer of a $56 million Medicare fraud conspiracy and an accomplice physician pleaded guilty today in federal court in Louisiana to health care fraud charges. ,https://www.justice.gov/opa/pr/mastermind-56-million-medicare-fraud-scheme-and-doctor-plead-guilty
9,Criminal and Civil Enforcement,"December 17, 2014",U.S. Attorney,Northern District of Texas,0,Dallas-Based Physician and Home Health Agency Nursing Director Sentenced in $3 Million Medicare Fraud Conspiracy,"DALLAS - A physician and a home health agency manager were sentenced today for their roles in a $3 million Medicare fraud conspiracy, announced U.S. Attorney Sarah R. Saldaña of the Northern District of Texas.","https://www.justice.gov/usao/txn/PressRelease/2014/DEC2014/DEC17Megwa,%20et%20al_sent.html"
